,core_number,pagerank,degree_centrality,betweenness_centrality,max_clique_size,cliques_involved
2021-10-08,1.0,0.023790118563175814,0.04938271604938271,0.00015432098765432098,0.0,0.0
2021-10-09,2.0,0.008040455251649857,0.15139442231075698,9.561752988047808e-05,0.0,0.0
2021-10-10,1.0,0.035639083167053665,0.2391304347826087,0.0,0.0,0.0
2021-10-11,1.0,0.0660139512428458,0.10714285714285714,0.0,0.0,0.0
2021-12-06,1.0,0.649122638064138,1.0,0.0,0.0,0.0
2022-01-14,1.0,0.0709080439627675,0.125,0.0,0.0,0.0
2022-01-15,1.0,0.019052319567970866,0.032679738562091505,4.299965600275198e-05,0.0,0.0
2022-01-16,1.0,0.02086603412492988,0.05494505494505495,0.0,0.0,0.0
2022-01-17,1.0,0.02937316806601352,0.047619047619047616,0.0002560163850486431,0.0,0.0
2022-01-18,1.0,0.03213653537742285,0.03636363636363636,0.0003367003367003367,0.0,0.0
2022-01-19,1.0,0.03988231863202304,0.10416666666666666,0.0,0.0,0.0
2022-01-20,1.0,0.03996999351454396,0.06382978723404255,0.0,0.0,0.0
2022-01-21,1.0,0.041828425340436244,0.045454545454545456,0.0,0.0,0.0
2022-01-22,1.0,0.07703212996831034,0.08695652173913043,0.0,0.0,0.0
2022-01-23,1.0,0.044152580453149015,0.06896551724137931,0.0,0.0,0.0
2022-01-24,1.0,0.03537264033334472,0.05555555555555555,0.0,0.0,0.0
2022-01-25,1.0,0.026094240092056416,0.05555555555555555,0.00019561815336463224,0.0,0.0
2022-01-26,1.0,0.01547199730437527,0.06521739130434782,5.9396531242575434e-05,0.0,0.0
2022-01-27,1.0,0.01063107066746069,0.04285714285714286,4.55684666210982e-05,0.0,0.0
2022-01-28,1.0,0.019289771752485436,0.02840909090909091,3.246753246753247e-05,0.0,0.0
2022-01-29,1.0,0.029723333010901024,0.05555555555555555,0.00017307026652821047,0.0,0.0
2022-01-30,1.0,0.030280835033829327,0.041237113402061855,0.0003221649484536082,0.0,0.0
2022-01-31,1.0,0.026034242365193833,0.045871559633027525,0.00016989466530750936,0.0,0.0
2022-02-01,1.0,0.01639188748531193,0.04794520547945205,4.723665564478035e-05,0.0,0.0
2022-02-02,1.0,0.03178264595975386,0.09836065573770492,0.0,0.0,0.0
2022-02-03,1.0,0.029604777665415048,0.047619047619047616,0.0,0.0,0.0
2022-02-04,1.0,0.02453422472159549,0.125,0.00015822784810126583,0.0,0.0
2022-02-05,1.0,0.06454655367710792,0.08108108108108109,0.0,0.0,0.0
2022-02-06,1.0,0.03127313278595188,0.0847457627118644,0.0005844535359438924,0.0,0.0
2022-02-07,1.0,0.03820438407181205,0.11864406779661017,0.0005844535359438924,0.0,0.0
2022-02-08,1.0,0.06387205739109188,0.09836065573770492,0.0,0.0,0.0
2022-02-09,1.0,0.04437085220234619,0.07142857142857142,0.0,0.0,0.0
2022-02-10,1.0,0.03508714389975114,0.03773584905660377,0.0,0.0,0.0
2022-02-11,1.0,0.0347546682641998,0.09375,0.0,0.0,0.0
2022-02-12,1.0,0.03130867173862898,0.06329113924050633,0.0001622849724115547,0.0,0.0
2022-02-13,1.0,0.015794953602508207,0.15503875968992248,6.056201550387597e-05,0.0,0.0
2022-02-14,1.0,0.018373520717267423,0.03153153153153153,2.0382373323549794e-05,0.0,0.0
2022-02-15,1.0,0.011691610443651546,0.06666666666666667,7.390983000739098e-05,0.0,0.0
2022-02-16,1.0,0.033705793457073946,0.0449438202247191,0.0002553626149131767,0.0,0.0
2022-02-17,1.0,0.03650043309118996,0.0784313725490196,0.00039215686274509797,0.0,0.0
2022-02-18,1.0,0.02291125619372148,0.024390243902439025,0.0,0.0,0.0
2022-02-19,1.0,0.02755378144552849,0.12359550561797752,0.0005107252298263534,0.0,0.0
2022-02-20,1.0,0.032839247751584213,0.11818181818181818,8.340283569641368e-05,0.0,0.0
2022-02-21,1.0,0.008810557797914832,0.0695970695970696,2.6933850463262227e-05,0.0,0.0
2022-02-22,1.0,0.029939325547934402,0.10743801652892562,6.887052341597796e-05,0.0,0.0
2022-02-23,2.0,0.010584367704549657,0.05120481927710844,2.7299530448076293e-05,0.0,0.0
2022-02-24,1.0,0.015970663949600304,0.05228758169934641,8.599931200550395e-05,0.0,0.0
2022-02-25,1.0,0.02711019507454053,0.03636363636363636,0.00016680567139282736,0.0,0.0
2022-02-26,1.0,0.02844925602277546,0.03488372093023256,0.00013679890560875513,0.0,0.0
2022-02-27,1.0,0.030708308070499797,0.03389830508474576,0.0002922267679719462,0.0,0.0
2022-02-28,1.0,0.06591477610902953,0.09259259259259259,0.0,0.0,0.0
2022-03-01,1.0,0.07323033936056816,0.1388888888888889,0.00019561815336463224,0.0,0.0
2022-03-02,1.0,0.06513496596197814,0.1016949152542373,0.0002922267679719462,0.0,0.0
2022-03-03,1.0,0.03408877302788675,0.13846153846153847,0.0,0.0,0.0
2022-03-04,1.0,0.052499544281302796,0.09090909090909091,0.0,0.0,0.0
2022-03-05,1.0,0.04968000810311886,0.11320754716981132,0.0,0.0,0.0
2022-03-06,1.0,0.03898060835021883,0.06349206349206349,0.0002560163850486431,0.0,0.0
2022-03-07,1.0,0.04669669161794885,0.04918032786885246,0.000273224043715847,0.0,0.0
2022-03-08,1.0,0.026808856289140905,0.0392156862745098,9.706853038245001e-05,0.0,0.0
2022-03-09,1.0,0.02386444139299481,0.1,0.0,0.0,0.0
2022-03-10,1.0,0.026005350528266802,0.06172839506172839,0.0,0.0,0.0
2022-03-11,1.0,0.020811847483969817,0.05494505494505495,0.0002442002442002442,0.0,0.0
2022-03-12,1.0,0.01957961823993896,0.07207207207207207,0.0003276003276003276,0.0,0.0
2022-03-13,1.0,0.02797421625108841,0.056179775280898875,0.00012768130745658836,0.0,0.0
2022-03-14,1.0,0.04913413958582191,0.06,0.0,0.0,0.0
2022-03-15,1.0,0.06196399055342243,0.09836065573770492,0.000273224043715847,0.0,0.0
2022-03-16,1.0,0.09387933791849774,0.11111111111111112,0.00101010101010101,0.0,0.0
2022-03-17,1.0,0.04744246653247943,0.06382978723404255,0.0009250693802035154,0.0,0.0
2022-03-18,1.0,0.025152700526168015,0.09433962264150943,0.0,0.0,0.0
2022-03-19,1.0,0.034932100068576,0.09090909090909091,0.00020661157024793388,0.0,0.0
2022-03-20,1.0,0.020792981705072065,0.06818181818181818,0.00013061650992685477,0.0,0.0
2022-03-21,1.0,0.022427941729593313,0.09090909090909091,0.0005004170141784821,0.0,0.0
2022-03-22,1.0,0.03517609128060096,0.05882352941176471,0.00012340600575894695,0.0,0.0
2022-03-23,1.0,0.029245077603320672,0.05325443786982249,3.522118906734291e-05,0.0,0.0
2022-03-24,1.0,0.021118614239231427,0.045454545454545456,0.00013061650992685477,0.0,0.0
2022-03-25,1.0,0.037975244897576484,0.041666666666666664,0.0,0.0,0.0
2022-03-26,1.0,0.037076043283354954,0.04081632653061224,0.00042517006802721087,0.0,0.0
2022-03-27,1.0,0.036105961699434475,0.15384615384615385,0.0,0.0,0.0
2022-03-28,1.0,0.032127877962630634,0.05555555555555555,0.0,0.0,0.0
2022-03-29,1.0,0.08383378423994184,0.1368421052631579,0.00011198208286674134,0.0,0.0
2022-03-30,1.0,0.027154616372747506,0.03076923076923077,0.00011926058437686345,0.0,0.0
2022-03-31,1.0,0.02440529525913057,0.04054054054054054,4.5964331678617394e-05,0.0,0.0
2022-04-01,1.0,0.02959474928545974,0.0625,0.00019425019425019425,0.0,0.0
2022-04-02,1.0,0.022396761034059333,0.05128205128205128,0.000666000666000666,0.0,0.0
2022-04-03,1.0,0.03095581293279649,0.05,0.0002824858757062147,0.0,0.0
2022-04-04,1.0,0.026676737058963867,0.06060606060606061,0.0009324009324009324,0.0,0.0
2022-04-05,1.0,0.013018926247393418,0.0213903743315508,0.00011500201253521937,0.0,0.0
2022-04-06,2.0,0.06821971538997872,0.031578947368421054,0.00022396416573348268,0.0,0.0
2022-04-07,1.0,0.027100682229664073,0.06060606060606061,0.0002331002331002331,0.0,0.0
2022-04-08,1.0,0.04529707675868595,0.057692307692307696,0.0003770739064856712,0.0,0.0
2022-04-09,1.0,0.02130627217763687,0.07352941176470588,0.0,0.0,0.0
2022-04-10,1.0,0.029870709620060557,0.04819277108433735,0.0,0.0,0.0
2022-04-11,1.0,0.03709252313902095,0.058823529411764705,0.00021949078138718174,0.0,0.0
2022-04-12,1.0,0.01946330872131022,0.030303030303030304,0.0,0.0,0.0
2022-04-13,1.0,0.02531558070728598,0.2345679012345679,0.0,0.0,0.0
2022-04-14,1.0,0.06047615663973179,0.07692307692307693,0.0,0.0,0.0
2022-04-15,2.0,0.03381693062842299,0.4426229508196722,0.000546448087431694,3.0,1.0
2022-04-16,1.0,0.07583388035885268,0.09090909090909091,0.0021645021645021645,0.0,0.0
2022-04-17,1.0,0.09680820528443951,0.13333333333333333,0.0,0.0,0.0
2022-04-18,1.0,0.040663136273543864,0.044444444444444446,0.0,0.0,0.0
2022-04-19,1.0,0.043762004676406424,0.10638297872340426,0.0004625346901017577,0.0,0.0
2022-04-20,1.0,0.07123952528367802,0.08,0.0,0.0,0.0
2022-04-21,1.0,0.056105533995365005,0.07142857142857142,0.0005807200929152149,0.0,0.0
2022-04-22,1.0,0.027746760575082262,0.05,0.000949367088607595,0.0,0.0
2022-04-23,1.0,0.02606264404878523,0.027777777777777776,0.0,0.0,0.0
2022-04-24,1.0,0.036994990845595654,0.05319148936170213,0.00011439029970258523,0.0,0.0
2022-04-25,1.0,0.09485920346357953,0.15151515151515152,0.000946969696969697,0.0,0.0
2022-04-26,1.0,0.06640557412226288,0.15217391304347827,0.0004830917874396135,0.0,0.0
2022-04-27,1.0,0.12385361239188228,0.14285714285714285,0.0,0.0,0.0
2022-04-28,1.0,0.04349038954654333,0.11627906976744186,0.0005537098560354374,0.0,0.0
2022-04-29,1.0,0.03077641289026746,0.14516129032258063,0.00026441036488630354,0.0,0.0
2022-04-30,1.0,0.056902580823685774,0.0625,0.0,0.0,0.0
2022-05-01,1.0,0.10073320507978899,0.16666666666666666,0.0,0.0,0.0
2022-05-02,1.0,0.05263194576390861,0.08571428571428572,0.0,0.0,0.0
2022-05-03,1.0,0.05718673774500803,0.09090909090909091,0.0,0.0,0.0
2022-05-04,1.0,0.06990695206438328,0.08,0.0016666666666666668,0.0,0.0
2022-05-05,1.0,0.035611321604398845,0.07547169811320754,0.000362844702467344,0.0,0.0
2022-05-06,1.0,0.08114171174684044,0.1,0.0,0.0,0.0
2022-05-07,1.0,0.03806613312083204,0.08823529411764705,0.0,0.0,0.0
2022-05-08,1.0,0.0670732154187992,0.08,0.00040816326530612246,0.0,0.0
2022-05-09,1.0,0.029838880032548754,0.06818181818181818,0.0,0.0,0.0
2022-05-10,1.0,0.03189689957480346,0.03389830508474576,0.0,0.0,0.0
2022-05-11,1.0,0.03444034879143912,0.07547169811320754,0.000362844702467344,0.0,0.0
2022-05-12,1.0,0.034263266100630074,0.037037037037037035,0.0,0.0,0.0
2022-05-13,1.0,0.06263158331196558,0.08333333333333333,0.0,0.0,0.0
2022-05-14,1.0,0.030005640760045284,0.05084745762711865,0.0011689070718877848,0.0,0.0
2022-05-15,1.0,0.03537264033334472,0.05555555555555555,0.0,0.0,0.0
2022-05-16,1.0,0.07489559876676671,0.08333333333333333,0.0,0.0,0.0
2022-05-17,1.0,0.32456160227748454,0.3333333333333333,0.0,0.0,0.0
2022-05-18,1.0,0.10818697860589434,0.09090909090909091,0.0,0.0,0.0
2022-05-19,1.0,0.07148098266689466,0.12,0.0033333333333333335,0.0,0.0
2022-05-20,1.0,0.06339363148716907,0.07894736842105263,0.0,0.0,0.0
2022-05-21,1.0,0.029062524297735495,0.03389830508474576,0.0002922267679719462,0.0,0.0
2022-05-22,1.0,0.17067212456448425,0.23076923076923078,0.0,0.0,0.0
2022-05-23,1.0,0.08612500215912323,0.09523809523809523,0.0,0.0,0.0
2022-05-24,1.0,0.07489559876676673,0.08333333333333333,0.0,0.0,0.0
2022-05-25,1.0,0.09066340050245385,0.13793103448275862,0.0,0.0,0.0
2022-05-26,1.0,0.03537264033334472,0.05555555555555555,0.0,0.0,0.0
2022-05-27,1.0,0.09818123230649115,0.1111111111111111,0.0,0.0,0.0
2022-05-28,1.0,0.06491250079167851,0.05263157894736842,0.0,0.0,0.0
2022-05-29,1.0,0.10818697860589434,0.09090909090909091,0.0,0.0,0.0
2022-05-30,1.0,0.12982437432707328,0.1111111111111111,0.0,0.0,0.0
