,core_number,pagerank,degree_centrality,betweenness_centrality,max_clique_size,cliques_involved
2022-11-01,7.0,0.00816917480081983,0.05079230333899264,0.061849960838880655,5.0,379.0
2022-12-01,12.0,0.008359349213618188,0.058588828223435536,0.032776535073866776,7.0,401.0
2023-01-01,8.0,0.01576691989349728,0.08994878361075544,0.04539315339335976,5.0,103.0
2023-02-01,6.0,0.014671995307941959,0.07323076923076924,0.02446882075183647,4.0,22.0
2023-03-01,3.0,0.02204519111664181,0.08650875386199794,0.014232130407239496,3.0,19.0
