,core_number,pagerank,degree_centrality,betweenness_centrality,max_clique_size,cliques_involved
2021-10-01,2.0,0.006846043436927848,0.12860892388451445,4.144218814753419e-05,0.0,0.0
2021-12-01,1.0,0.649122638064138,1.0,0.0,0.0,0.0
2022-01-01,2.0,0.008112145746655837,0.017614091273018412,5.2926956950175536e-05,0.0,0.0
2022-02-01,2.0,0.003035103563541444,0.025493025493025494,9.460756332748633e-05,0.0,0.0
2022-03-01,2.0,0.012486710346958158,0.026415094339622643,0.00017215316486245225,3.0,3.0
2022-04-01,2.0,0.0038895509943105604,0.021306818181818184,0.00014935973541383988,3.0,1.0
2022-05-01,2.0,0.007610808037642196,0.03078982597054886,7.177952202016286e-05,0.0,0.0
